City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Preobrazheniye,RU,42.9019,133.9064,48.96,52,0,4.9,clear sky
1,Huarmey,PE,-10.0681,-78.1522,65.03,76,28,13.62,scattered clouds
2,Renfrew,GB,55.872,-4.3925,58.51,80,100,4.61,overcast clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,8.05,light rain
4,Atuona,PF,-9.8,-139.0333,76.41,76,30,19.98,light rain
5,Ponta Do Sol,PT,32.6667,-17.1,74.03,90,44,3.67,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,73.17,77,0,14.99,clear sky
7,Bluff,NZ,-46.6,168.3333,46.8,85,99,2.39,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,62.38,71,0,5.75,clear sky
9,Nikolskoye,RU,59.7035,30.7861,49.91,96,62,3.33,broken clouds
10,Kapaa,US,22.0752,-159.319,87.78,68,20,12.66,few clouds
11,Bermejo,AR,-32.8833,-68.8,62.51,27,40,4.61,scattered clouds
12,Zaraysk,RU,54.7653,38.8836,49.19,70,100,1.9,overcast clouds
13,Yellowknife,CA,62.456,-114.3525,55.92,47,20,8.05,few clouds
14,Ushuaia,AR,-54.8,-68.3,47.86,43,75,9.22,broken clouds
15,Uryupinsk,RU,50.8047,42.0138,53.96,57,100,5.88,overcast clouds
16,Gambela,ET,8.25,34.5833,71.69,89,100,2.89,overcast clouds
17,Omboue,GA,-1.5746,9.2618,76.06,81,100,6.17,overcast clouds
18,Shingu,JP,33.7333,135.9833,65.44,73,100,4.85,overcast clouds
19,Clinton,US,42.587,-82.9199,78.82,58,75,14.97,broken clouds
20,Busselton,AU,-33.65,115.3333,58.05,70,4,16.46,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,53.71,37,40,9.22,scattered clouds
22,Asau,RO,46.4333,26.4,43.72,87,14,4.76,few clouds
23,Pacifica,US,37.6138,-122.4869,79.74,69,75,6.91,broken clouds
24,Xinyang,CN,32.1228,114.0656,62.83,46,100,3.38,overcast clouds
25,Airai,TL,-8.9266,125.4092,60.19,85,29,3.13,scattered clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,0,8.05,clear sky
27,Hithadhoo,MV,-0.6,73.0833,81.34,71,10,4.92,clear sky
28,Hilo,US,19.7297,-155.09,85.28,62,20,5.99,few clouds
29,Leningradskiy,RU,69.3833,178.4167,34.66,72,5,14.0,clear sky
30,Kavieng,PG,-2.5744,150.7967,82.49,74,93,9.4,overcast clouds
31,Ushtobe,KZ,45.2514,77.9838,60.08,27,1,10.31,clear sky
32,Arbagar,RU,51.9438,116.2805,39.2,88,66,6.51,broken clouds
33,Saint Anthony,US,45.0205,-93.218,93.65,59,0,5.75,clear sky
34,Matay,EG,28.419,30.7792,78.22,49,0,12.53,clear sky
35,Makakilo City,US,21.3469,-158.0858,86.32,51,20,17.27,light intensity drizzle
36,Kahului,US,20.8947,-156.47,87.82,66,40,25.32,scattered clouds
37,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,23.02,broken clouds
38,Barrow,US,71.2906,-156.7887,39.22,81,0,5.75,clear sky
39,Juneau,US,58.3019,-134.4197,56.1,88,100,12.66,overcast clouds
40,Ridgetown,CA,42.4334,-81.8998,71.46,43,100,10.58,overcast clouds
41,Feijo,BR,-8.1642,-70.3536,85.23,58,54,3.29,broken clouds
42,Cidreira,BR,-30.1811,-50.2056,60.1,91,80,11.39,broken clouds
43,Dikson,RU,73.5069,80.5464,30.51,71,100,20.22,overcast clouds
44,Caravelas,BR,-17.7125,-39.2481,72.1,79,12,9.91,few clouds
45,Mataura,NZ,-46.1927,168.8643,46.47,94,95,0.74,overcast clouds
46,Novi Becej,RS,45.5986,20.1356,49.23,82,63,7.25,broken clouds
47,Haines Junction,CA,60.7522,-137.5108,62.55,45,100,2.3,overcast clouds
48,Sistranda,NO,63.7256,8.834,44.56,69,100,10.74,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,23.63,64,100,6.24,overcast clouds
50,Grand Gaube,MU,-20.0064,57.6608,71.38,73,8,10.0,clear sky
51,Odienne,CI,9.51,-7.5692,70.11,99,100,3.62,light rain
52,Mar Del Plata,AR,-38.0023,-57.5575,51.82,75,0,6.91,clear sky
53,Portland,US,45.5234,-122.6762,87.94,25,20,9.22,few clouds
54,Avarua,CK,-21.2078,-159.775,77.05,73,40,13.8,scattered clouds
55,West Bay,KY,19.3667,-81.4167,89.06,77,40,8.05,scattered clouds
56,Margate,GB,51.3813,1.3862,60.31,74,97,5.82,overcast clouds
57,Jamestown,US,42.097,-79.2353,74.01,49,0,9.22,clear sky
58,Port Alfred,ZA,-33.5906,26.891,58.21,75,8,8.48,clear sky
59,Albany,US,42.6001,-73.9662,70.45,77,34,1.99,scattered clouds
60,Fort Nelson,CA,58.8053,-122.7002,58.59,44,75,2.3,broken clouds
61,Buala,SB,-8.145,159.5921,80.94,76,100,4.36,moderate rain
62,Atoka,US,34.4001,-96.0169,98.76,23,0,12.26,clear sky
63,Anaconda,US,46.1285,-112.9423,50.99,53,40,6.87,scattered clouds
64,New Norfolk,AU,-42.7826,147.0587,54.91,66,79,3.65,broken clouds
65,Bredasdorp,ZA,-34.5322,20.0403,50.59,91,0,3.53,clear sky
66,Bulri,PK,24.8667,68.3333,77.92,79,0,12.48,clear sky
67,Porlamar,VE,10.958,-63.8491,81.05,84,55,11.83,broken clouds
68,Namibe,AO,-15.1961,12.1522,62.51,91,13,1.14,few clouds
69,Burgos,ES,42.3394,-3.7079,54.01,62,0,10.36,clear sky
70,Victoria,HK,22.2855,114.1577,83.32,83,60,10.0,broken clouds
71,Fortuna,US,40.5982,-124.1573,72.93,64,38,5.01,scattered clouds
72,Sinnamary,GF,5.3833,-52.95,80.96,80,77,12.66,broken clouds
73,Kapit,MY,2.0167,112.9333,70.72,99,77,1.45,broken clouds
74,Hermanus,ZA,-34.4187,19.2345,54.81,78,0,6.67,clear sky
75,Gogrial,SS,8.5332,28.1004,73.89,86,64,4.0,broken clouds
76,Saint-Augustin,CA,51.226,-58.6502,52.41,59,0,5.86,clear sky
77,Vaini,TO,-21.2,-175.2,77.16,83,100,11.5,overcast clouds
78,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,6.24,light rain
79,Kiama,AU,-34.6833,150.8667,63.57,83,100,7.0,overcast clouds
80,Santa Maria Del Oro,MX,25.9333,-105.3667,81.12,38,10,14.58,clear sky
81,Alofi,NU,-19.0595,-169.9187,78.69,78,75,17.27,broken clouds
82,Cedar City,US,37.6775,-113.0619,77.97,24,0,19.57,clear sky
83,Taoudenni,ML,22.6783,-3.9836,99.93,11,1,8.21,clear sky
84,Mitu,CO,1.1983,-70.1733,82.54,74,59,2.98,broken clouds
85,Afsin,TR,38.2477,36.914,66.0,45,8,1.36,clear sky
86,Butaritari,KI,3.0707,172.7902,81.18,76,94,11.14,overcast clouds
87,Luena,AO,-11.7833,19.9167,67.23,64,76,0.38,broken clouds
88,Ketchikan,US,55.3422,-131.6461,63.07,59,0,8.05,clear sky
89,Almaznyy,RU,48.0448,40.045,58.53,63,100,5.37,overcast clouds
90,Vila Velha,BR,-20.3297,-40.2925,75.15,84,0,16.11,clear sky
91,Klaksvik,FO,62.2266,-6.589,52.72,94,93,10.29,overcast clouds
92,Tuatapere,NZ,-46.1333,167.6833,50.13,91,100,1.45,overcast clouds
93,Thompson,CA,55.7435,-97.8558,46.56,76,100,9.22,overcast clouds
94,Mwene-Ditu,CD,-7.0,23.45,74.3,65,45,1.16,scattered clouds
95,Cherskiy,RU,68.75,161.3,39.04,62,100,14.0,overcast clouds
96,Khatanga,RU,71.9667,102.5,21.45,91,93,6.24,overcast clouds
97,Hayvoron,UA,48.3396,29.8679,48.24,84,100,14.5,overcast clouds
98,Yagodnoye,RU,62.55,149.6667,32.34,97,100,4.63,light snow
99,San Patricio,US,28.017,-97.5169,93.15,49,24,13.04,few clouds
100,Sao Caetano De Odivelas,BR,-0.75,-48.02,79.27,77,66,10.49,broken clouds
101,Komsomolskiy,UZ,40.4272,71.7189,70.52,43,33,9.22,scattered clouds
102,Salisbury,GB,51.0693,-1.7957,56.64,75,75,3.44,broken clouds
103,Grindavik,IS,63.8424,-22.4338,49.95,100,75,8.05,broken clouds
104,Pisco,PE,-13.7,-76.2167,66.25,68,2,20.71,dust
105,Geraldton,AU,-28.7667,114.6,48.61,93,92,10.36,overcast clouds
106,Rawson,AR,-43.3002,-65.1023,46.89,94,100,17.96,light rain
107,Clyde River,CA,70.4692,-68.5914,30.43,100,75,5.75,light snow
108,Sao Filipe,CV,14.8961,-24.4956,79.16,76,25,8.12,scattered clouds
109,Bodden Town,KY,19.2833,-81.25,88.99,75,40,8.05,scattered clouds
110,Brownwood,US,31.7093,-98.9912,96.12,38,1,12.53,clear sky
111,Meulaboh,ID,4.1363,96.1285,75.61,91,100,4.21,overcast clouds
112,Beringovskiy,RU,63.05,179.3167,44.49,83,100,21.85,overcast clouds
113,Vila,PT,42.0304,-8.1588,62.71,74,79,2.86,broken clouds
114,Conceicao Do Araguaia,BR,-8.2578,-49.2647,92.01,24,39,0.76,scattered clouds
115,Doha,QA,25.2867,51.5333,89.91,84,0,9.22,clear sky
116,Rocha,UY,-34.4833,-54.3333,48.65,84,100,6.08,overcast clouds
117,Micheweni,TZ,-4.9667,39.8333,74.08,81,34,6.73,scattered clouds
118,Maceio,BR,-9.6658,-35.7353,74.64,83,0,6.91,clear sky
119,Chokurdakh,RU,70.6333,147.9167,32.4,92,100,16.35,light snow
120,Hobart,AU,-42.8794,147.3294,55.26,66,0,5.75,clear sky
121,Torbay,CA,47.6666,-52.7314,51.89,80,20,5.75,few clouds
122,Sitka,US,57.0531,-135.33,58.89,77,75,4.61,broken clouds
123,Guerrero Negro,MX,27.9769,-114.0611,76.48,64,36,14.83,scattered clouds
124,Lyuban,BY,52.7985,28.0048,46.54,91,78,3.33,broken clouds
125,Aklavik,CA,68.2191,-135.0107,46.4,87,75,3.44,broken clouds
126,Talnakh,RU,69.4865,88.3972,29.21,72,100,9.8,overcast clouds
127,Tazovskiy,RU,67.4667,78.7,35.94,86,100,25.03,light rain
128,Castro,BR,-24.7911,-50.0119,61.86,79,60,3.83,broken clouds
129,Yar-Sale,RU,66.8333,70.8333,50.52,93,90,16.8,overcast clouds
130,San Felipe,VE,10.3399,-68.7425,76.91,91,100,3.4,overcast clouds
131,Nouadhibou,MR,20.931,-17.0347,75.18,78,8,16.11,clear sky
132,Saint George,US,37.1041,-113.5841,92.95,16,0,12.66,clear sky
133,Hargeysa,SO,9.56,44.065,74.93,52,26,11.97,scattered clouds
134,Bonthe,SL,7.5264,-12.505,76.62,87,100,8.3,light rain
135,Bengkulu,ID,-3.8004,102.2655,74.89,90,100,4.23,overcast clouds
136,Mahebourg,MU,-20.4081,57.7,71.26,88,40,9.22,scattered clouds
137,Te Anau,NZ,-45.4167,167.7167,47.26,86,92,0.22,overcast clouds
138,Port Elizabeth,ZA,-33.918,25.5701,57.49,92,40,5.75,scattered clouds
139,Oranjemund,NA,-28.55,16.4333,57.38,66,0,8.77,clear sky
140,Linxia,CN,35.6003,103.2064,51.58,80,2,1.81,clear sky
141,Khorixas,NA,-20.3667,14.9667,67.64,10,0,5.66,clear sky
142,Ixtapa,MX,20.7,-105.2,78.15,95,100,1.57,overcast clouds
143,Itarema,BR,-2.9248,-39.9167,77.68,85,66,17.18,broken clouds
144,Valparaiso,CL,-33.0393,-71.6273,57.43,100,40,16.11,scattered clouds
145,Solwezi,ZM,-12.1688,26.3894,68.85,56,82,2.04,broken clouds
146,Mnogovershinnyy,RU,53.9353,139.9242,36.75,71,4,10.18,clear sky
147,Severo-Kurilsk,RU,50.6789,156.125,50.27,71,66,14.97,broken clouds
148,Nuuk,GL,64.1835,-51.7216,39.81,93,75,6.91,broken clouds
149,Necochea,AR,-38.5473,-58.7368,45.1,73,100,6.11,overcast clouds
150,Karratha,AU,-20.7377,116.8463,67.19,38,0,8.66,clear sky
151,Durban,ZA,-29.8579,31.0292,58.93,95,100,12.03,light rain
152,Weyburn,CA,49.6668,-103.8511,55.62,50,55,23.02,broken clouds
153,Tynaarlo,NL,53.0775,6.6167,50.02,68,20,1.92,few clouds
154,Auki,SB,-8.7676,160.7034,76.05,92,100,2.28,overcast clouds
155,Calabozo,VE,8.9242,-67.4293,82.13,78,75,3.29,broken clouds
156,Hambantota,LK,6.1241,81.1185,77.34,100,0,9.22,clear sky
157,Choix,MX,26.7092,-108.3219,87.94,66,74,5.57,broken clouds
158,La Fleche,FR,47.6982,-0.0755,61.05,73,88,6.71,overcast clouds
159,Kaitangata,NZ,-46.2817,169.8464,50.05,91,64,2.75,broken clouds
160,Cap Malheureux,MU,-19.9842,57.6142,71.47,73,6,10.0,clear sky
161,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,65,8.01,broken clouds
162,Pimampiro,EC,0.4,-77.9667,65.82,68,100,2.64,light rain
163,Jutai,BR,-5.1833,-68.9,81.81,69,80,2.19,broken clouds
164,Turbat,PK,26.0023,63.044,78.89,77,7,4.88,clear sky
165,Bethel,US,41.3712,-73.414,76.53,63,75,6.91,broken clouds
166,Chenzhou,CN,25.8,113.0333,65.84,62,43,2.17,scattered clouds
167,San Rafael Del Sur,NI,11.8485,-86.4384,86.97,78,83,8.34,broken clouds
168,La Ronge,CA,55.1001,-105.2842,52.05,82,100,19.57,overcast clouds
169,Yuancheng,CN,36.652,107.7896,51.44,94,90,3.83,overcast clouds
170,Chuy,UY,-33.6971,-53.4616,51.94,81,100,9.95,overcast clouds
171,Constitucion,CL,-35.3333,-72.4167,50.41,69,3,10.78,clear sky
172,Carnarvon,AU,-24.8667,113.6333,63.72,54,96,11.1,overcast clouds
173,Vanimo,PG,-2.6741,141.3028,77.99,87,100,4.74,heavy intensity rain
174,Saskylakh,RU,71.9167,114.0833,24.73,87,100,19.08,overcast clouds
175,Odweyne,SO,9.4092,45.064,77.41,49,13,8.01,few clouds
176,Tukrah,LY,32.5341,20.5791,79.32,55,4,2.08,clear sky
177,Banjar,ID,-8.19,114.9675,75.81,87,100,4.56,overcast clouds
178,Coihaique,CL,-45.5752,-72.0662,46.35,61,75,5.75,broken clouds
179,Rabak,SD,13.1809,32.74,78.71,70,100,6.82,overcast clouds
180,Serra,BR,-20.1286,-40.3078,74.66,78,0,16.11,clear sky
181,East London,ZA,-33.0153,27.9116,59.41,71,43,6.73,scattered clouds
182,Kuji,JP,40.1878,141.7689,57.42,66,20,7.34,few clouds
183,Vostok,RU,46.4856,135.8833,35.94,66,0,5.03,clear sky
184,Shahr-E Babak,IR,30.1165,55.1186,70.36,20,43,5.64,scattered clouds
185,Ilulissat,GL,69.2167,-51.1,37.42,93,75,10.36,light intensity drizzle rain
186,Ribeira Grande,PT,38.5167,-28.7,74.59,80,23,4.18,few clouds
187,Palmer,US,42.1584,-72.3287,71.49,78,75,5.75,broken clouds
188,Iqaluit,CA,63.7506,-68.5145,40.73,86,100,3.44,overcast clouds
189,Gorlice,PL,49.6556,21.1604,48.27,88,99,6.46,overcast clouds
190,Ilo,PE,-17.6394,-71.3375,59.86,88,100,13.8,mist
191,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,66,14.92,light rain
192,Brae,GB,60.3964,-1.353,55.33,93,100,14.61,overcast clouds
193,Kasongo,CD,-4.45,26.6667,72.27,80,40,2.93,scattered clouds
194,Sabla,NG,12.7525,4.7077,78.31,79,48,7.58,scattered clouds
195,Nome,US,64.5011,-165.4064,45.16,70,40,4.61,scattered clouds
196,Georgetown,MY,5.4112,100.3354,78.73,94,20,2.3,few clouds
197,Mahon,ES,39.8885,4.2658,66.76,68,0,3.44,clear sky
198,Mancio Lima,BR,-7.6142,-72.8958,80.67,78,40,13.8,smoke
199,Mae Sai,TH,20.4335,99.8762,69.37,99,56,1.77,broken clouds
200,Jega,NG,12.2175,4.3792,76.44,88,6,6.51,clear sky
201,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,40,9.22,light rain
202,Arawa,PG,-6.2132,155.5367,80.91,82,97,3.31,light rain
203,Hamilton,US,39.1834,-84.5333,87.8,55,20,5.75,few clouds
204,Harbin,CN,45.75,126.65,46.35,58,5,14.88,clear sky
205,Waddan,LY,29.1614,16.139,90.16,13,2,7.27,clear sky
206,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,75,5.75,broken clouds
207,Bremerton,US,47.5673,-122.6326,81.84,29,0,11.5,clear sky
208,Uetze,DE,52.4651,10.2047,51.28,93,7,1.14,clear sky
209,Samarai,PG,-10.6167,150.6667,80.6,85,100,11.77,overcast clouds
210,Itoman,JP,26.1247,127.6694,77.77,70,20,21.85,few clouds
211,Merauke,ID,-8.4667,140.3333,79.81,83,99,13.11,overcast clouds
212,Pocone,BR,-16.2567,-56.6228,89.29,42,45,3.18,scattered clouds
213,Rincon,US,32.296,-81.2354,87.94,70,6,4.36,clear sky
214,Barra,BR,-11.0894,-43.1417,83.52,43,70,3.51,broken clouds
215,Kudahuvadhoo,MV,2.6708,72.8944,81.81,72,57,8.48,broken clouds
216,Saint-Georges,GD,12.0564,-61.7485,82.08,83,40,9.22,scattered clouds
217,Vanavara,RU,60.34,102.2797,30.2,89,100,15.17,light snow
218,Kikwit,CD,-5.041,18.8162,72.0,87,100,1.81,overcast clouds
219,Lata,PT,40.1629,-8.3327,71.92,86,42,2.35,scattered clouds
220,Mount Isa,AU,-20.7333,139.5,71.37,94,62,4.61,broken clouds
221,Mehamn,NO,71.0357,27.8492,42.71,81,75,3.44,broken clouds
222,Aloleng,PH,16.1307,119.7824,78.04,85,99,8.72,overcast clouds
